Z,thickness_cm,thickness_A,E0_MeV,N_seeds,mean_energy_loss_MeV,mean_backscatter_prob,mean_angle_deg,mean_angle_std_deg
13,0.0001,10000.0,2.2,50,0.2697000000000003,1.5698519799999994e-05,0.37371600000000016,1.3806900000000002
13,0.0002,20000.0,2.2,50,0.5513000000000005,3.66290434e-05,0.7651759999999999,2.0276240000000003
13,0.0003,29999.999999999996,2.2,50,0.8432779999999999,6.611291580000002e-05,1.1962380000000001,2.6127300000000004
13,4e-05,4000.0000000000005,2.2,50,0.1062000000000003,5.909518620000001e-06,0.14834599999999992,0.8629079999999999
13,0.0005,50000.0,2.2,50,1.4739840000000017,0.00019936626400000003,2.3830299999999998,4.178172
13,8e-05,8000.000000000001,2.2,50,0.21415000000000006,1.2150427800000001e-05,0.297018,1.227942
14,0.0001,10000.0,2.2,50,0.1106999999999999,1.40603088e-05,0.32325400000000004,1.3040539999999998
14,0.0002,20000.0,2.2,50,0.26073999999999997,2.9373252e-05,0.6394899999999999,1.8472279999999999
14,0.0003,29999.999999999996,2.2,50,0.4151040000000002,4.7243650800000006e-05,0.949618,2.2653979999999994
14,4e-05,4000.0000000000005,2.2,50,0.04120000000000035,5.4760345799999986e-06,0.13069999999999996,0.8289700000000002
14,0.0005,50000.0,2.2,50,0.9755459999999994,0.00010682631200000001,1.6912860000000003,3.202946
14,8e-05,8000.000000000001,2.2,50,0.07910000000000039,1.08219462e-05,0.25839799999999996,1.1634659999999997
32,0.0001,10000.0,2.2,50,0.2339300000000002,6.87808258e-05,0.6673240000000001,2.6153519999999992
32,0.0002,20000.0,2.2,50,0.5166000000000003,0.00015896090800000004,1.3747220000000004,3.821645999999999
32,0.0003,29999.999999999996,2.2,50,0.8206479999999999,0.000282954062,2.15483,4.899075999999999
32,4e-05,4000.0000000000005,2.2,50,0.08830000000000027,2.58573488e-05,0.26413600000000004,1.6407340000000008
32,0.0005,50000.0,2.2,50,1.5541820000000004,0.0009670828759999998,4.525179999999999,8.055698
32,8e-05,8000.000000000001,2.2,50,0.17840000000000011,5.3293838799999984e-05,0.531786,2.327076
6,0.0001,10000.0,2.2,50,0.0354000000000001,5.61600276e-06,0.2937399999999999,0.8736280000000002
6,0.0002,20000.0,2.2,50,0.08840000000000003,1.14446536e-05,0.545942,1.197928
6,0.0003,29999.999999999996,2.2,50,0.060194000000000046,1.6965995800000006e-05,0.7560819999999999,1.4100099999999998
6,4e-05,4000.0000000000005,2.2,50,0.014000000000000234,2.1881817200000003e-06,0.12392600000000002,0.5684299999999998
6,0.0005,50000.0,2.2,50,0.4894979999999998,3.258540040000001e-05,1.1855379999999998,1.860232
6,8e-05,8000.000000000001,2.2,50,0.018200000000000216,4.433859820000001e-06,0.23844600000000005,0.7866060000000001
78,0.0001,10000.0,2.2,50,0.5490099999999998,0.0007131259879999998,2.506874,7.1614679999999975
78,0.0002,20000.0,2.2,50,1.3436619999999992,0.0026519644800000004,6.039297999999999,12.082546000000002
78,0.0003,29999.999999999996,2.2,50,2.033100000000001,0.025906076999999996,14.755672000000006,25.088196000000003
78,4e-05,4000.0000000000005,2.2,50,0.18159999999999976,0.00023776024199999998,0.9548020000000002,4.358888
78,0.0005,50000.0,2.2,50,2.2000000000000015,0.08827432699999999,23.296626,39.457989999999995
78,8e-05,8000.000000000001,2.2,50,0.4049000000000003,0.0005299202799999999,1.9517320000000007,6.276211999999998
79,0.0001,10000.0,2.2,50,0.45990000000000075,0.0006208426559999999,2.2273680000000007,6.746708000000002
79,0.0002,20000.0,2.2,50,1.1529180000000006,0.0020009246400000008,5.119373999999999,10.839216000000004
79,0.0003,29999.999999999996,2.2,50,1.848968000000002,0.009353420420000003,10.617920000000002,18.598876
79,4e-05,4000.0000000000005,2.2,50,0.1533999999999998,0.00021377624399999994,0.8602100000000001,4.1542580000000005
79,0.0005,50000.0,2.2,50,2.2000000000000015,0.08114048900000002,22.054958000000006,38.280803999999996
79,8e-05,8000.000000000001,2.2,50,0.33549999999999985,0.0004686369460000001,1.7464460000000006,5.943202
8,0.0001,10000.0,2.2,50,0.042300000000000004,4.78738352e-06,0.19603200000000004,0.8060199999999995
8,0.0002,20000.0,2.2,50,0.09830000000000005,9.655454040000001e-06,0.379426,1.121086
8,0.0003,29999.999999999996,2.2,50,0.10250000000000004,1.4740316800000002e-05,0.543498,1.339092
8,4e-05,4000.0000000000005,2.2,50,0.01650000000000018,1.92352588e-06,0.080122,0.516254
8,0.0005,50000.0,2.2,50,0.38183000000000006,2.6883353800000005e-05,0.8861980000000002,1.7537199999999995
8,8e-05,8000.000000000001,2.2,50,0.025700000000000056,3.7977918799999996e-06,0.15721,0.7209720000000003
